audio_id,name,instrument,technique,duration,pitch,pitch_id,dynamics,dynamics_id,instance_id,string_id
1,violoncello_ord_C2_pp_001.wav,Violoncello,ordinario,8.474,C2,36,pp,0,3,4.0
2,violoncello_ord_C#2_pp_002.wav,Violoncello,ordinario,7.051,C#2,37,pp,0,3,4.0
3,violoncello_ord_D2_pp_003.wav,Violoncello,ordinario,9.673,D2,38,pp,0,3,4.0
4,violoncello_ord_D#2_pp_004.wav,Violoncello,ordinario,8.579,D#2,39,pp,0,3,4.0
5,violoncello_ord_E2_pp_005.wav,Violoncello,ordinario,8.586,E2,40,pp,0,3,4.0
6,violoncello_ord_F2_pp_006.wav,Violoncello,ordinario,7.971,F2,41,pp,0,3,4.0
7,violoncello_ord_F#2_pp_007.wav,Violoncello,ordinario,7.078,F#2,42,pp,0,3,4.0
8,violoncello_ord_G2_pp_008.wav,Violoncello,ordinario,10.41,G2,43,pp,0,2,3.0
9,violoncello_ord_G2_pp_009.wav,Violoncello,ordinario,7.946,G2,43,pp,0,3,4.0
10,violoncello_ord_G#2_pp_010.wav,Violoncello,ordinario,8.862,G#2,44,pp,0,2,3.0
11,violoncello_ord_G#2_pp_011.wav,Violoncello,ordinario,8.13,G#2,44,pp,0,3,4.0
12,violoncello_ord_A2_pp_012.wav,Violoncello,ordinario,8.356,A2,45,pp,0,2,3.0
13,violoncello_ord_A2_pp_013.wav,Violoncello,ordinario,8.512,A2,45,pp,0,3,4.0
14,violoncello_ord_A#2_pp_014.wav,Violoncello,ordinario,8.865,A#2,46,pp,0,2,3.0
15,violoncello_ord_A#2_pp_015.wav,Violoncello,ordinario,8.845,A#2,46,pp,0,3,4.0
16,violoncello_ord_B2_pp_016.wav,Violoncello,ordinario,8.2,B2,47,pp,0,2,3.0
17,violoncello_ord_B2_pp_017.wav,Violoncello,ordinario,7.823,B2,47,pp,0,3,4.0
18,violoncello_ord_C3_pp_018.wav,Violoncello,ordinario,8.22,C3,48,pp,0,2,3.0
19,violoncello_ord_C3_pp_019.wav,Violoncello,ordinario,7.472,C3,48,pp,0,3,4.0
20,violoncello_ord_C#3_pp_020.wav,Violoncello,ordinario,8.823,C#3,49,pp,0,2,3.0
21,violoncello_ord_C#3_pp_021.wav,Violoncello,ordinario,7.324,C#3,49,pp,0,3,4.0
22,violoncello_ord_D3_pp_022.wav,Violoncello,ordinario,9.018,D3,50,pp,0,1,2.0
23,violoncello_ord_D3_pp_023.wav,Violoncello,ordinario,7.584,D3,50,pp,0,2,3.0
24,violoncello_ord_D3_pp_024.wav,Violoncello,ordinario,8.976,D3,50,pp,0,3,4.0
25,violoncello_ord_D#3_pp_025.wav,Violoncello,ordinario,8.131,D#3,51,pp,0,1,2.0
26,violoncello_ord_D#3_pp_026.wav,Violoncello,ordinario,8.194,D#3,51,pp,0,2,3.0
27,violoncello_ord_D#3_pp_027.wav,Violoncello,ordinario,6.857,D#3,51,pp,0,3,4.0
28,violoncello_ord_E3_pp_028.wav,Violoncello,ordinario,9.608,E3,52,pp,0,1,2.0
29,violoncello_ord_E3_pp_029.wav,Violoncello,ordinario,8.104,E3,52,pp,0,2,3.0
30,violoncello_ord_E3_pp_030.wav,Violoncello,ordinario,7.579,E3,52,pp,0,3,4.0
31,violoncello_ord_F3_pp_031.wav,Violoncello,ordinario,7.574,F3,53,pp,0,1,2.0
32,violoncello_ord_F3_pp_032.wav,Violoncello,ordinario,6.672,F3,53,pp,0,2,3.0
33,violoncello_ord_F3_pp_033.wav,Violoncello,ordinario,7.468,F3,53,pp,0,3,4.0
34,violoncello_ord_F#3_pp_034.wav,Violoncello,ordinario,7.073,F#3,54,pp,0,1,2.0
35,violoncello_ord_F#3_pp_035.wav,Violoncello,ordinario,7.672,F#3,54,pp,0,2,3.0
36,violoncello_ord_F#3_pp_036.wav,Violoncello,ordinario,7.473,F#3,54,pp,0,3,4.0
37,violoncello_ord_G3_pp_037.wav,Violoncello,ordinario,9.997,G3,55,pp,0,1,2.0
38,violoncello_ord_G3_pp_038.wav,Violoncello,ordinario,7.972,G3,55,pp,0,2,3.0
39,violoncello_ord_G3_pp_039.wav,Violoncello,ordinario,7.736,G3,55,pp,0,3,4.0
40,violoncello_ord_G#3_pp_040.wav,Violoncello,ordinario,7.422,G#3,56,pp,0,1,2.0
41,violoncello_ord_G#3_pp_041.wav,Violoncello,ordinario,7.843,G#3,56,pp,0,2,3.0
42,violoncello_ord_G#3_pp_042.wav,Violoncello,ordinario,7.702,G#3,56,pp,0,3,4.0
43,violoncello_ord_A3_pp_043.wav,Violoncello,ordinario,8.753,A3,57,pp,0,0,1.0
44,violoncello_ord_A3_pp_044.wav,Violoncello,ordinario,8.492,A3,57,pp,0,1,2.0
45,violoncello_ord_A3_pp_045.wav,Violoncello,ordinario,10.779,A3,57,pp,0,2,3.0
46,violoncello_ord_A3_pp_046.wav,Violoncello,ordinario,7.375,A3,57,pp,0,3,4.0
47,violoncello_ord_A#3_pp_047.wav,Violoncello,ordinario,7.662,A#3,58,pp,0,0,1.0
48,violoncello_ord_A#3_pp_048.wav,Violoncello,ordinario,9.18,A#3,58,pp,0,1,2.0
49,violoncello_ord_A#3_pp_049.wav,Violoncello,ordinario,8.709,A#3,58,pp,0,2,3.0
50,violoncello_ord_A#3_pp_050.wav,Violoncello,ordinario,7.266,A#3,58,pp,0,3,4.0
51,violoncello_ord_B3_pp_051.wav,Violoncello,ordinario,7.441,B3,59,pp,0,0,1.0
52,violoncello_ord_B3_pp_052.wav,Violoncello,ordinario,8.27,B3,59,pp,0,1,2.0
53,violoncello_ord_B3_pp_053.wav,Violoncello,ordinario,8.434,B3,59,pp,0,2,3.0
54,violoncello_ord_C4_pp_054.wav,Violoncello,ordinario,8.445,C4,60,pp,0,0,1.0
55,violoncello_ord_C4_pp_055.wav,Violoncello,ordinario,8.468,C4,60,pp,0,1,2.0
56,violoncello_ord_C4_pp_056.wav,Violoncello,ordinario,7.607,C4,60,pp,0,2,3.0
57,violoncello_ord_C#4_pp_057.wav,Violoncello,ordinario,9.094,C#4,61,pp,0,0,1.0
